English to target
Afrikaans (af_ZA) no
Azerbaijani (az_AZ) no
Arabic (ar_AR) yes
Bengali (bn_IN) no
Bulgarian (bg_BG) no
Burmese (my_MM) yes
Catalan (ca_ES) no
Chinese (zh_CN) yes
Croatian (hr_HR) no
Czech (cs_CZ) yes
Dutch (nl_XX) yes
Estonian (et_EE) yes
Finnish (fi_FI) yes
French (fr_XX) yes
Galician (gl_ES) no
Georgian (ka_GE) no
German (de_DE) yes
Greek (el_GR) no
Gujarati (gu_IN) yes
Hebrew (he_IL) no
Hindi (hi_IN) yes
Hungarian (hu_HU) no
Indonesian (id_ID) no
Irish (ga_IE) no
Italian (it_IT) yes
Japanese (ja_XX) yes
Kazakh (kk_KZ) yes
Khmer (km_KH) no
Korean (ko_KR) yes
Lithuanian (lt_LT) yes
Latvian (lv_LV) yes
Malagasy (mg_MG) no
Malay (ms_MY) no
Malayalam (ml_IN) no
Maltese (mt_MT) no
Marathi (mr_IN) no
Nepali (ne_NP) yes
Norwegian (no_NO) no
Persian (fa_IR) no
Polish (pl_PL) no
Portuguese (pt_XX) no
Punjabi (pa_IN) no
Romanian (ro_RO) yes
Russian (ru_RU) yes
Sinhala (si_LK) yes
Slovak (sk_SK) no
Slovenian (sl_SI) no
Spanish (es_XX) yes
Swahili (sw_KE) no
Swedish (sv_SE) no
Tamil (ta_IN) no
Telugu (te_IN) no
Thai (th_TH) no
Tagalog (tl_XX) no
Turkish (tr_TR) yes
Ukrainian (uk_UA) no
Urdu (ur_PK) no
Vietnamese (vi_VN) yes
Xhosa (xh_ZA) no
